#TAG,NAME IN REPO (or git url),PURPOSE
#This is the RHEL-family (Fedora/CentOS/Rocky/Alma) package list; names differ
#from Arch and some programs are simply not packaged there. Missing packages
#fail quietly and the install continues. AUR (A) entries are skipped entirely
#on this family; C entries install from COPR and take the form
#owner/project:package. UNTESTED so far - expect to prune this on a first
#Fedora run.
,xorg-x11-server-Xorg,"is the graphical server."
,xorg-x11-xinit,"starts the graphical server."
,xorg-x11-server-utils,"provides xset, xsetroot and other X utilities."
,xorg-x11-utils,"provides xprop, xwininfo and friends."
,xorg-x11-drv-libinput,"is the input driver."
,dbus,"provides the message bus that the graphical session is launched under."
,dbus-x11,"provides dbus-launch, which xinitrc starts the session with."
,xorg-x11-drv-fbdev,"is a fallback framebuffer video driver, mainly for virtual machines."
,xorg-x11-drv-vesa,"is a last-resort generic video driver, mainly for virtual machines."
,openssh,"provides ssh-agent, which the graphical session is launched under."
,polkit,"manages user policies."
,fontawesome-fonts,"provides extended glyph support."
,jetbrains-mono-fonts,"is the plain (unpatched) interface font; the script installs the Nerd Font variant with the icon glyphs separately, since it is not packaged here."
,google-noto-sans-mono-fonts,"is the monospace fallback font. Without a real mono font installed, fontconfig falls through to an icon font and all text renders as symbols."
,dejavu-sans-mono-fonts,"properly displays fallback glyphs."
,google-noto-sans-fonts,"is an expansive font package."
,google-noto-emoji-color-fonts,"is an emoji font."
#LibreWolf has no build for this family; the script installs Firefox and
#exposes it as "librewolf", which is what $BROWSER and the keybindings expect.
#lf is not in EPEL; the script installs the upstream release binary.
,bc,"is a mathematics language used for the dropdown calculator."
#picom is not in EPEL; the script installs it from source if no repo has it.
,dosfstools,"allows your computer to access dos-like filesystems."
,libnotify,"allows desktop notifications."
#dunst is not in EPEL; the script builds it from source (see dunstinstall).
#Build dependencies for the source-built programs below.
,libX11-devel,"headers for the X programs built from source."
,libXft-devel,"headers for the X programs built from source."
,libXinerama-devel,"headers for the X programs built from source."
,libXrandr-devel,"headers for slock."
,libXtst-devel,"headers for xcape."
,libXi-devel,"headers for xcape and unclutter-xfixes."
,libev-devel,"headers for unclutter-xfixes."
,pam-devel,"headers for slock's password check."
,ncurses-devel,"headers for calcurse and abook."
,gettext-devel,"provides autopoint, needed to autogen abook and calcurse."
,asciidoc,"builds the calcurse documentation."
,python3-pip,"installs the Python programs this family does not package."
S,https://github.com/lfos/calcurse.git,"terminal organizer used by the clock module; built from source."
,exfatprogs,"allows management of FAT drives."
#feh is not in EPEL (and neither is its imlib2 dependency); the script builds
#xwallpaper from source instead and setbg falls back to ImageMagick.
,ImageMagick,"provides a last-resort wallpaper setter (display -window root) and image tools."
,psmisc,"provides pstree, which sysact uses to find the window manager."
,ffmpeg-free,"can record and splice video and audio on the command line."
,ffmpegthumbnailer,"creates thumbnail previews of video files."
,gnome-keyring,"serves as the system keyring."
P,QDarkStyle,"provides a dark Qt theme."
,neovim,"a tidier vim with some useful features"
#mpd, mpc, nsxiv, newsboat and neomutt are built from source below.
,mpv,"is the patrician's choice video player."
,man-db,"lets you read man pages of programs."
,ntfs-3g,"allows accessing NTFS partitions."
,pipewire,"is the audio server."
,wireplumber,"is the audio system."
,pipewire-pulseaudio,"gives pipewire compatibility with PulseAudio programs."
,pipewire-alsa,"routes ALSA applications through pipewire."
P,pulsemixer,"is an audio controller."
,NetworkManager,"manages network connections."
,NetworkManager-tui,"provides nmtui for the status bar's network module."
,transmission-cli,"is the torrent daemon the status bar's torrent module reads."
,isync,"synchronizes mail with mbsync."
,msmtp,"sends mail."
,pass,"is a password manager used for mail credentials."
S,https://github.com/abook/abook,"is an offline addressbook usable by neomutt; built from source."
G,https://github.com/LukeSmithxyz/mutt-wizard.git,"is a light-weight terminal-based email system."
,htop,"is a graphical and colorful system monitor."
,maim,"can take quick screenshots at your request."
G,https://github.com/Airblader/unclutter-xfixes.git,"hides an inactive mouse; built from source."
,unzip,"unzips zips."
,lynx,"is a terminal browser also used for generating in-terminal previews of websites, emails and HTML files."
#xcape is not built: the upstream repository now answers 401 and no
#maintained mirror was reachable. Only the tap-to-escape remap needs it.
,xclip,"allows for copying and pasting from the command line."
,xdotool,"provides window action utilities on the command line."
P,yt-dlp,"can download any YouTube video (or playlist or channel) when given the link."
,zathura,"is a pdf viewer with vim-like bindings."
,poppler,"manipulates .pdfs and gives .pdf previews and other .pdf functions."
,mediainfo,"shows audio and video information and is used in the file browser."
,atool,"manages and gives information about archives."
,fzf,"is a fuzzy finder tool used for easy selection and location of files."
,bat,"can highlight code output and display files and is used to generate previews in the file browser."
,task-spooler,"queues commands or files for download."
G,https://github.com/james5618/dwmblocks.git,"serves as the modular status bar."
G,https://github.com/james5618/dmenu.git,"runs commands and provides a UI for selection."
G,https://github.com/james5618/st.git,"is my custom build of suckless's terminal emulator."
G,https://github.com/james5618/dwm.git,"is the window manager."
G,https://git.suckless.org/slock,"locks the screen; built from source since suckless programs are not packaged here."
,socat,"is a utility which establishes two byte streams and transfers data between them."
,tesseract,"command-line OCR engine for advance maimpick"
,tesseract-langpack-eng,"english language pack for OCR"
#--- Programs this family does not package, built from upstream. Each build's
#--- dependencies are listed immediately above it; order matters here.
,freetype-devel,"headers for imlib2."
,libpng-devel,"headers for imlib2."
,libjpeg-turbo-devel,"headers for imlib2."
,giflib-devel,"headers for imlib2."
,libtiff-devel,"headers for imlib2."
,libwebp-devel,"headers for imlib2."
,bzip2-devel,"headers for imlib2."
,libexif-devel,"headers for nsxiv."
S,https://git.enlightenment.org/old/legacy-imlib2,"is the image library nsxiv needs; built from source."
G,https://codeberg.org/nsxiv/nsxiv,"is a minimalist image viewer; built from source."
,meson,"builds the programs using the meson build system."
,ninja-build,"builds the programs using the meson build system."
,boost-devel,"headers for mpd."
,alsa-lib-devel,"headers for mpd."
,libcurl-devel,"headers for mpd and newsboat."
,sqlite-devel,"headers for mpd, newsboat and neomutt."
,fmt-devel,"headers for mpd."
,libid3tag-devel,"headers for mpd."
,libmad-devel,"headers for mpd."
,flac-devel,"headers for mpd."
,libvorbis-devel,"headers for mpd."
,opus-devel,"headers for mpd."
,libsamplerate-devel,"headers for mpd."
,yajl-devel,"headers for mpd."
,pipewire-devel,"headers for mpd's pipewire output."
,expat-devel,"headers for mpd."
M,https://github.com/MusicPlayerDaemon/libmpdclient,"is the client library mpc and ncmpcpp use; built from source."
M,https://github.com/MusicPlayerDaemon/mpc,"is a terminal interface for mpd; built from source."
M,https://github.com/MusicPlayerDaemon/MPD,"is a lightweight music daemon; built from source."
,cargo,"builds newsboat, which is written in Rust."
,rust,"builds newsboat, which is written in Rust."
,json-c-devel,"headers for newsboat."
,openssl-devel,"headers for newsboat and neomutt."
,gettext,"provides msgfmt for the newsboat translations."
,swig,"builds the stfl language bindings."
G,https://github.com/newsboat/stfl,"is the terminal widget library newsboat needs; built from source."
G,https://github.com/newsboat/newsboat,"is a terminal RSS client; built from source."
,cyrus-sasl-devel,"headers for neomutt."
,libidn2-devel,"headers for neomutt."
,gpgme-devel,"headers for neomutt."
,zlib-devel,"headers for neomutt."
,libxslt,"builds the neomutt documentation."
,docbook-xsl,"builds the neomutt documentation."
S,https://github.com/neomutt/neomutt,"is a terminal email client; built from source."
,zathura-pdf-poppler,"gives zathura its PDF backend, since the mupdf one is not packaged."
#--- The remaining programs, for completeness. These are the heavier builds.
,taglib-devel,"headers for ncmpcpp."
,readline-devel,"headers for ncmpcpp."
,fftw-devel,"headers for the ncmpcpp visualiser."
,libicu-devel,"headers for ncmpcpp."
S,https://github.com/ncmpcpp/ncmpcpp,"is a ncurses interface for music with a powerful tag editor; built from source."
,xapian-core-devel,"headers for notmuch."
,gmime30-devel,"headers for notmuch."
,libtalloc-devel,"headers for notmuch."
S,https://github.com/notmuch/notmuch,"indexes mail; built from source."
,cmake,"builds the programs using the cmake build system."
,gcc-c++,"compiles the C++ programs built from source."
,vips-devel,"headers for ueberzugpp."
,libsixel-devel,"headers for ueberzugpp."
,chafa-devel,"headers for ueberzugpp."
,tbb-devel,"headers for ueberzugpp."
,spdlog-devel,"headers for ueberzugpp."
,nlohmann-json-devel,"headers for ueberzugpp."
,cli11-devel,"headers for ueberzugpp."
,openssl-devel,"headers for ueberzugpp."
K,https://github.com/jstkdng/ueberzugpp,"enables image previews in the lf file manager; built from source."
,python3-gobject,"is the GTK binding arandr needs."
,gtk3,"is the toolkit arandr draws with."
P,git+https://github.com/chrysn/arandr,"allows the user to customize monitor arrangements; installed from git."
,xcb-util-devel,"headers for xbacklight."
S,https://gitlab.freedesktop.org/xorg/app/xbacklight.git,"enables changing screen brightness levels; built from source."
#The Libertinus fonts are fetched from their GitHub release by the script,
#since the release asset carries the version in its filename.
